playlist_name,num_tracks,track_name,track_duration,track_explicit,track_popularity,acousticness,danceability,energy,instrumentalness,key,loudness,mode,tempo,valence,artist1_name,artist2_name,artist3_name,album_name,album_type,album_popularity,album_release_date,genres,pop,indie,rock,edm,hip hop,dance,avg_artist_following,avg_artist_popularity,single
FIFA 16 Soundtrack,40,Playsom,238040,0,0,0.124,0.9129999999999999,0.8240000000000001,0.000646,9,-5.903,0,127.959,0.96,BaianaSystem,,,Duas Cidades,album,0,2016-03-29,"['afrobeat brasileiro', 'baile pop', 'brazilian indie', 'mangue bit', 'mpb', 'nova mpb', 'pop nacional', 'samba reggae']",1,1,0,0,0,0,154250.0,57.0,0
FIFA 16 Soundtrack,40,Playsom (Part. Márcio Victor),238190,0,0,0.183,0.932,0.82,0.00257,9,-7.609,0,127.96600000000001,0.9620000000000001,BaianaSystem,,,Playsom (Single),single,0,2015-02-11,"['afrobeat brasileiro', 'baile pop', 'brazilian indie', 'mangue bit', 'mpb', 'nova mpb', 'pop nacional', 'samba reggae']",1,1,0,0,0,0,154250.0,57.0,1
FIFA 16 Soundtrack,40,Sister Of Pearl,253439,0,0,0.0808,0.736,0.6759999999999999,0.149,5,-7.28,1,125.046,0.935,Baio,,,Sister Of Pearl,single,0,2015-06-16,['nyc pop'],1,0,0,0,0,0,22822.0,42.0,1
FIFA 16 Soundtrack,40,Shine A Light,225120,0,56,0.0354,0.32,0.8009999999999999,2.48e-06,0,-4.25,1,194.78400000000002,0.0991,BANNERS,,,Shine A Light,single,49,2015-09-18,"['indie poptimism', 'modern alternative rock', 'pop', 'pop rock']",1,1,1,0,0,0,273293.0,71.0,1
FIFA 16 Soundtrack,40,Dreams,314320,1,0,0.00073,0.589,0.956,0.051,1,-3.5869999999999997,0,113.99600000000001,0.7509999999999999,Beck,,,Dreams,single,0,2015-06-15,"['alternative rock', 'anti-folk', 'indie rock', 'modern rock', 'permanent wave', 'rock']",0,1,1,0,0,0,1110179.0,70.0,1
FIFA 16 Soundtrack,40,Soy Yo,159800,0,63,0.04,0.888,0.581,0.000221,11,-7.631,0,117.039,0.7979999999999999,Bomba Estéreo,,,Amanecer,album,63,2015-06-02,"['cumbia', 'latin alternative', 'latin rock', 'pop electronico']",1,0,1,1,0,0,801144.0,66.0,0
FIFA 16 Soundtrack,40,Fool,218320,0,0,0.00228,0.6829999999999999,0.8109999999999999,0.0243,11,-4.556,0,125.001,0.871,BØRNS,,,Fool,single,0,2015-09-18,"['electropop', 'indie pop', 'modern rock', 'pop']",1,1,1,1,0,0,817563.0,71.0,1
FIFA 16 Soundtrack,40,Tonight,247306,0,0,0.0086,0.28600000000000003,0.883,8.58e-06,9,-3.46,1,189.99900000000002,0.496,Coasts,,,Tonight,single,0,2015-09-04,"['english indie rock', 'indie poptimism', 'indie surf', 'modern alternative rock']",1,1,1,0,0,0,86831.0,46.0,1
FIFA 16 Soundtrack,40,Omen - Radio Edit,196817,0,65,0.115,0.6709999999999999,0.7859999999999999,0.0,8,-4.857,1,106.057,0.621,Disclosure,,,Omen (Radio Edit),single,59,2015-07-27,"['house', 'pop', 'tropical house', 'uk dance']",1,0,0,1,0,1,1764044.0,81.0,1
FIFA 16 Soundtrack,40,Slow Burn (feat. Chuck Ellis),329729,0,39,0.000849,0.745,0.847,0.0705,11,-6.239,0,118.00200000000001,0.609,Durante,,,Slow Burn,single,33,2014-09-15,['progressive house'],0,0,0,1,0,0,11028.0,48.0,1
FIFA 16 Soundtrack,40,Mountain at My Gates,244293,0,41,0.0025,0.495,0.9309999999999999,0.0783,2,-5.336,0,104.05,0.617,Foals,,,Mountain at My Gates,single,34,2015-07-21,"['alternative dance', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'new rave', 'oxford indie', 'rock']",0,1,1,0,0,1,1074832.0,70.0,1
FIFA 16 Soundtrack,40,New Rush,229271,0,0,0.0329,0.725,0.935,0.0872,0,-4.655,1,132.993,0.479,Gin Wigmore,,,New Rush,single,0,2015-04-20,"['auckland indie', 'kiwi rock']",0,1,1,0,0,0,127393.0,53.0,1
FIFA 16 Soundtrack,40,Emergency,169617,1,58,0.0558,0.8340000000000001,0.9690000000000001,0.000723,6,-3.383,1,125.985,0.9279999999999999,Icona Pop,,,Emergency EP,single,53,2015-07-17,"['candy pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'swedish electropop', 'swedish synthpop']",1,0,0,1,0,1,644259.0,72.0,1
FIFA 16 Soundtrack,40,Yeah Yeah Yeah - Radio Edit,219602,0,43,0.114,0.6920000000000001,0.6990000000000001,0.10099999999999999,1,-5.2170000000000005,1,121.99600000000001,0.71,Jax Jones,,,Yeah Yeah Yeah,single,36,2015-07-24,"['dance pop', 'edm', 'house', 'pop', 'tropical house', 'uk dance']",1,0,0,1,0,1,766793.0,78.0,1
FIFA 16 Soundtrack,40,Tiring Game,203758,0,50,0.000499,0.6679999999999999,0.8859999999999999,5.7799999999999995e-05,10,-4.751,0,128.077,0.397,John Newman,,,Revolve,album,47,2015-10-16,['pop'],1,0,0,0,0,0,603997.0,71.0,0
FIFA 16 Soundtrack,40,Way down We Go,219560,0,65,0.612,0.59,0.578,0.000162,10,-5.797999999999999,0,81.663,0.264,KALEO,,,Way down We Go,single,58,2015-08-07,"['icelandic indie', 'icelandic rock', 'modern alternative rock', 'modern rock']",0,1,1,0,0,0,992948.0,72.0,1
FIFA 16 Soundtrack,40,ID - Ultra Music Festival Anthem,289987,0,61,0.623,0.6859999999999999,0.6779999999999999,0.7190000000000001,10,-8.062999999999999,1,105.005,0.33799999999999997,Kygo,,,ID (Ultra Music Festival Anthem),single,54,2015-02-10,"['edm', 'pop', 'tropical house']",1,0,0,1,0,0,6530116.0,90.0,1
FIFA 16 Soundtrack,40,It's Strange (feat. K.Flay),245581,0,0,0.371,0.8370000000000001,0.49200000000000005,0.0401,0,-7.792000000000001,1,85.95100000000001,0.41700000000000004,Louis The Child,,,It's Strange (feat. K.Flay),single,0,2015-09-09,"['edm', 'electropop', 'pop', 'tropical house']",1,0,0,1,0,0,366412.0,75.0,1
FIFA 16 Soundtrack,40,All It Ever Was,342320,0,0,0.149,0.17600000000000002,0.7440000000000001,0.00336,0,-4.796,0,104.05,0.083,Miami Horror,,,All Possible Futures,album,0,2015-04-07,"['alternative dance', 'australian dance', 'australian electropop', 'chillwave', 'dance-punk', 'electroclash', 'electronica', 'filter house', 'indie pop', 'indie poptimism', 'indie soul', 'indietronica', 'new rave', 'nu disco', 'shimmer pop']",1,1,0,1,0,1,202591.0,56.0,0
FIFA 16 Soundtrack,40,Let Me Know,251906,0,3,0.113,0.5820000000000001,0.8909999999999999,2.13e-05,7,-4.122,1,119.88600000000001,0.11900000000000001,No Wyld,,,Let Me Know,single,1,2015-07-27,[],0,0,0,0,0,0,19052.0,43.0,1
